UTR|RRN|TXN_DATE|TXN_TIME|AMOUNT|STATUS|RESPONSE_CODE|SWITCH_REF
UTR000028|508409787066|20240201|165820|42834.77|SUCCESS|00|SW000027
UTR000029|633746651549|20240201|125604|23582.58|SUCCESS|00|SW000028
UTR000030|893268901614|20240201|061734|980.12|SUCCESS|00|SW000029
UTR000031|689969986195|20240201|105544|1691.84|SUCCESS|00|SW000030
UTR000032|716769569689|20240201|112012|30276.52|SUCCESS|00|SW000031
UTR000033|698678189604|20240201|084917|48947.54|SUCCESS|00|SW000032
UTR000034|415892239892|20240201|083706|47242.82|SUCCESS|00|SW000033
UTR000035|677679687224|20240201|192136|21093.28|SUCCESS|00|SW000034
UTR000036|598948583779|20240201|162438|48738.44|SUCCESS|00|SW000035
UTR000037|586366831677|20240201|171834|37590.58|SUCCESS|00|SW000036
UTR000038|873485137219|20240201|122409|28157.73|SUCCESS|00|SW000037
UTR000039|515162378070|20240201|134224|4821.74|SUCCESS|00|SW000038
UTR000040|916458945663|20240201|141255|44153.11|SUCCESS|00|SW000039
UTR000041|554546392139|20240201|070653|31294.36|SUCCESS|00|SW000040
UTR000042|439469220808|20240201|110600|32660.81|SUCCESS|00|SW000041
UTR000043|844412843202|20240201|123507|39627.12|SUCCESS|00|SW000042
UTR000044|100943685906|20240201|073146|26214.96|FAILED|51|SW000043
UTR000045|900835417011|20240201|125046|42253.72|SUCCESS|00|SW000044
UTR000046|180307817948|20240201|205011|35605.22|SUCCESS|00|SW000045
UTR000047|499473916113|20240201|091548|18050.62|SUCCESS|00|SW000046
UTR000048|153881862117|20240201|115022|5236.15|SUCCESS|00|SW000047
UTR000049|561137971558|20240201|063238|15916.51|SUCCESS|00|SW000048
UTR000050|204062237842|20240201|132233|49021.38|PENDING|00|SW000049
UTR000051|533324657049|20240201|140216|43841.87|SUCCESS|00|SW000050
UTR000052|383665315248|20240201|124951|2787.58|SUCCESS|00|SW000051
UTR000053|805064900838|20240201|105108|31088.73|SUCCESS|00|SW000052
UTR000054|508409709807|20240201|102108|5720.14|SUCCESS|00|SW000053
UTR000055|416401521645|20240201|160937|38763.45|SUCCESS|00|SW000054
UTR000056|404608356405|20240201|102432|5551.18|SUCCESS|00|SW000055
UTR000057|769934643045|20240201|135325|41193.29|SUCCESS|00|SW000056
UTR000058|713523953270|20240201|071742|18933.20|PENDING|00|SW000057
UTR000059|237616666535|20240201|102830|16372.80|SUCCESS|00|SW000058
UTR000060|535909139863|20240201|071013|10734.63|SUCCESS|00|SW000059
UTR000061|131720497194|20240201|065002|7750.88|SUCCESS|00|SW000060
UTR000062|875048139424|20240201|155351|3875.92|SUCCESS|00|SW000061
UTR000063|211246342404|20240201|070814|7783.70|SUCCESS|00|SW000062
UTR000064|172192558193|20240201|175233|17849.57|SUCCESS|00|SW000063
UTR000065|952369362433|20240201|150653|42673.38|SUCCESS|00|SW000064
UTR000066|650140623310|20240201|080202|11789.21|SUCCESS|00|SW000065
UTR000068|228612978569|20240201|131224|18083.76|SUCCESS|00|SW000066
UTR000069|738899113650|20240201|111340|22462.65|SUCCESS|00|SW000067
UTR000070|326887129623|20240201|132857|48184.77|SUCCESS|00|SW000068
UTR000071|858970157185|20240201|071022|20698.08|SUCCESS|00|SW000069
UTR000072|779534463664|20240201|084800|43521.12|SUCCESS|00|SW000070
UTR000073|757380628364|20240201|094356|8782.49|SUCCESS|00|SW000071
UTR000074|731107689004|20240201|063055|37047.32|SUCCESS|00|SW000072
UTR000075|656954584441|20240201|165631|18681.86|SUCCESS|00|SW000073
UTR000076|891847492836|20240201|063456|38053.80|SUCCESS|00|SW000074
UTR000077|485636189601|20240201|075347|45488.84|SUCCESS|00|SW000075
UTR000078|834186318020|20240201|132504|40454.82|SUCCESS|00|SW000076
UTR000079|960732800700|20240201|064807|39605.81|SUCCESS|00|SW000077
UTR000080|488208199289|20240201|171408|20841.95|SUCCESS|00|SW000078
UTR000081|109659743055|20240201|174258|27255.77|SUCCESS|00|SW000079
UTR000082|258381509238|20240201|111249|1710.62|SUCCESS|00|SW000080
UTR000083|131621646922|20240201|211821|15632.56|SUCCESS|00|SW000081
UTR000084|964030611535|20240201|070245|38341.70|SUCCESS|00|SW000082
UTR000085|939215310512|20240201|182906|15538.83|SUCCESS|00|SW000083
UTR000086|709498292406|20240201|103909|35958.80|SUCCESS|00|SW000084
UTR000087|205717729373|20240201|112550|23630.14|SUCCESS|00|SW000085
UTR000088|839318221207|20240201|163429|4505.33|SUCCESS|00|SW000086
UTR000090|643330361232|20240201|122222|7775.29|SUCCESS|00|SW000087
UTR000091|866993557228|20240201|121849|18077.90|SUCCESS|00|SW000088
UTR000092|417533175780|20240201|171049|49794.83|SUCCESS|00|SW000089
UTR000093|285145502323|20240201|102008|32717.31|SUCCESS|00|SW000090
UTR000094|844848492197|20240201|183131|45663.76|SUCCESS|00|SW000091
UTR000095|820523693334|20240201|160835|20088.88|SUCCESS|00|SW000092
UTR000096|642965475535|20240201|132450|34097.95|SUCCESS|00|SW000093
UTR000097|813205548645|20240201|114308|39068.33|SUCCESS|00|SW000094
UTR000098|525434842579|20240201|144608|43149.45|SUCCESS|00|SW000095
UTR000099|465718162803|20240201|195034|11224.98|SUCCESS|00|SW000096
UTR000100|108646469485|20240201|150427|33550.41|SUCCESS|00|SW000097
